execution_id,learning_rate,lr_decay_strategy,optimizer,momentum,wd,network,epochs,training_acc,val_acc
41,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5292307692307693,0.5762139917695474
42,0.003,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5846153846153846,0.5587654320987654
43,0.0001,"[40, 80, 100, 400]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,300,0.5938461538461538,0.5549382716049382
44,0.0003,"[40, 80, 100, 400]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,300,0.6338461538461538,0.5578189300411522
45,0.001,"[40, 80, 100, 400]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,300,0.6523076923076923,0.5367078189300412
46,0.003,"[40, 80, 100, 400]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,300,0.56,0.5703703703703704
47,1e-05,"[40, 80, 100, 300]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7876923076923077,0.5911111111111111
48,0.0001,"[40, 80, 100, 300]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8369230769230769,0.525679012345679
49,0.001,"[40, 80, 100, 300]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.68,0.5020987654320987
50,0.01,"[40, 80, 100, 300]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.4707692307692308,0.508641975308642
51,1e-05,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6153846153846154,0.5732098765432099
52,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6984615384615385,0.5382716049382716
53,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5692307692307692,0.5172839506172839
54,0.01,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5015384615384615,0.4511111111111111
55,1e-05,"[40, 80, 100, 300]",rmsprop,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6615384615384615,0.5387654320987655
56,0.0001,"[40, 80, 100, 300]",rmsprop,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.84,0.551604938271605
57,0.001,"[40, 80, 100, 300]",rmsprop,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7723076923076924,0.5106172839506172
58,0.01,"[40, 80, 100, 300]",rmsprop,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5076923076923077,0.5027160493827161
59,1e-05,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",rmsprop,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5692307692307692,0.5538271604938272
60,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",rmsprop,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6861538461538461,0.5669135802469136
61,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",rmsprop,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5815384615384616,0.4996296296296296
62,0.01,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",rmsprop,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.4584615384615385,0.5459259259259259
63,1e-05,"[40, 80, 100, 400]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,300,0.8215384615384616,0.5959670781893004
64,1e-06,"[40, 80, 100, 400]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.56,0.5324691358024691
65,3e-05,"[40, 80, 100, 400]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8984615384615384,0.5351851851851852
66,1e-05,"[40, 80, 100, 400]",adam,0.9,0.01,slowfast_4x16_resnet50_kinetics400,100,0.803076923076923,0.5967901234567902
67,1e-05,"[40, 80, 100, 400]",adam,0.9,1e-06,slowfast_4x16_resnet50_kinetics400,100,0.7046153846153846,0.5811111111111111
68,1e-05,[400],adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8492307692307692,0.5849382716049383
69,1e-05,"[50, 200]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8184615384615385,0.601358024691358
70,1e-05,[400],adam,0.9,0.01,slowfast_4x16_resnet50_kinetics400,300,0.9230769230769232,0.55440329218107
71,1e-05,"[40, 80, 100, 400]",adam,0.9,0.01,slowfast_4x16_resnet50_kinetics400,300,0.7784615384615384,0.6032098765432099
73,1e-05,[400],adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,300,0.9569230769230768,0.6069547325102881
74,1e-05,"[40, 80, 100, 400]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,300,0.7907692307692308,0.6372839506172839
75,1e-05,"[50, 200, 400]",adam,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,300,0.8861538461538462,0.5633333333333334
76,1e-05,[400],adam,0.9,1e-06,slowfast_4x16_resnet50_kinetics400,300,0.9261538461538461,0.5806584362139918
