execution_id,learning_rate,lr_decay_strategy,optimizer,wd,network,epochs,training_acc,val_acc
42,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",rmsprop,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8076923076923077,0.555625
43,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",rmsprop,0.001,slowfast_4x16_resnet50_kinetics400,100,0.8846153846153846,0.429375
44,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",rmsprop,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8589743589743589,0.56125
45,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",rmsprop,0.001,slowfast_4x16_resnet50_kinetics400,100,0.7948717948717948,0.444375
46,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",rmsprop,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8333333333333334,0.468125
47,0.005,"[40, 80, 100]",adam,0.001,slowfast_4x16_resnet50_kinetics400,100,0.8717948717948718,0.469375
48,0.005,"[40, 80, 100]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6794871794871795,0.535
49,0.001,"[40, 80, 100]",adam,0.001,slowfast_4x16_resnet50_kinetics400,100,0.9230769230769232,0.490625
50,0.001,"[40, 80, 100]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.9230769230769232,0.538125
51,0.0005,"[40, 80, 100]",adam,0.001,slowfast_4x16_resnet50_kinetics400,100,0.9487179487179488,0.469375
52,0.0005,"[40, 80, 100]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.9743589743589745,0.395
53,0.0001,"[40, 80, 100]",adam,0.001,slowfast_4x16_resnet50_kinetics400,100,0.9871794871794872,0.4375
54,0.0001,"[40, 80, 100]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.9871794871794872,0.514375
55,0.005,"[40, 80, 100]",rmsprop,0.001,slowfast_4x16_resnet50_kinetics400,100,0.6794871794871795,0.466875
56,0.005,"[40, 80, 100]",rmsprop,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7435897435897436,0.506875
57,0.001,"[40, 80, 100]",rmsprop,0.001,slowfast_4x16_resnet50_kinetics400,100,0.9487179487179488,0.551875
58,0.001,"[40, 80, 100]",rmsprop,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.9487179487179488,0.56375
59,0.0005,"[40, 80, 100]",rmsprop,0.001,slowfast_4x16_resnet50_kinetics400,100,0.9743589743589745,0.4325
60,0.0005,"[40, 80, 100]",rmsprop,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.9871794871794872,0.44125
61,0.0001,"[40, 80, 100]",rmsprop,0.001,slowfast_4x16_resnet50_kinetics400,100,0.9743589743589745,0.441875
62,0.0001,"[40, 80, 100]",rmsprop,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.9871794871794872,0.464375
63,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,200,0.6666666666666666,0.50875
64,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,200,0.6794871794871795,0.5065625
65,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,200,0.6923076923076923,0.61375
66,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,200,0.6282051282051282,0.464375
67,0.001,"[40, 80, 100, 300]",rmsprop,0.0001,slowfast_4x16_resnet50_kinetics400,200,0.9487179487179488,0.5384375
68,0.005,"[40, 80, 100, 300]",sgd,0.0001,slowfast_8x8_resnet50_kinetics400,200,0.7435897435897436,0.5484375
106,0.005,"[40, 80, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7307692307692307,0.60125, 0.375
108,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7564102564102564,0.475, 0.5
111,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6666666666666666,0.4825, 0.375
117,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.782051282051282,0.545625, 0.4375
165,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,200,0.6153846153846154,0.4878125, 0.625
